metric,avg edits,eval single near,eval single same,eval all near,eval all same
avg edits,1.00,-1.00,-1.00,-1.00,-1.00
eval single near,-1.00,1.00,1.00,1.00,1.00
eval single same,-1.00,1.00,1.00,1.00,1.00
eval all near,-1.00,1.00,1.00,1.00,1.00
eval all same,-1.00,1.00,1.00,1.00,1.00
